Date,lag1,lag2,lag3,lag4,lag5,RSI,StdDev,Momentum,macd,atr,sar,candelstatus
2016.03.25,-0.00022,-0.00351,-0.0024,-0.00312,-0.0038,55.75018045,0.006687,101.5231469,0.00438243,0.01062571,1.10048159,0
2016.03.28,-0.00121,-0.00022,-0.00351,-0.0024,-0.00312,54.02696385,0.0067569,101.4674862,0.00474302,0.01064286,1.1025047,1
2016.03.29,0.00347,-0.00121,-0.00022,-0.00351,-0.0024,56.73150891,0.00620678,100.1512074,0.00505011,0.01096786,1.10440642,1
2016.03.30,0.0096,0.00347,-0.00121,-0.00022,-0.00351,63.28329447,0.00554156,101.243027,0.00530096,0.00872429,1.10619403,1
2016.03.31,0.00466,0.0096,0.00347,-0.00121,-0.00022,66.0405361,0.00603362,102.1168883,0.00545685,0.00852643,1.10861771,1
2016.04.01,0.00423,0.00466,0.0096,0.00347,-0.00121,68.291103,0.00697781,102.4574737,0.00561262,0.00856286,1.11186994,1
2016.04.04,0.00144,0.00423,0.00466,0.0096,0.00347,69.40392087,0.00863707,101.6651356,0.00581286,0.00858,1.11569555,0
2016.04.05,-0.00111,0.00144,0.00423,0.00466,0.0096,67.76102272,0.00953895,100.631966,0.00605455,0.00775929,1.11906208,0
2016.04.06,-0.00028,-0.00111,0.00144,0.00423,0.00466,67.30683637,0.00982261,100.9947026,0.00635368,0.00753071,1.12202463,1
2016.04.07,0.00164,-0.00028,-0.00111,0.00144,0.00423,68.31077019,0.00944921,101.414767,0.00671046,0.00778571,1.12463167,0
2016.04.08,-0.00222,0.00164,-0.00028,-0.00111,0.00144,65.23848099,0.00832317,101.4275524,0.00710434,0.00793,1.12753224,1
2016.04.11,0.00201,-0.00222,0.00164,-0.00028,-0.00111,67.66107117,0.00634774,102.0554378,0.0075237,0.00795429,1.13002673,0
2016.04.12,-0.00028,0.00201,-0.00222,0.00164,-0.00028,66.76828276,0.00382575,102.0209701,0.00786836,0.00835071,1.13217198,0
2016.04.13,-0.00199,-0.00028,0.00201,-0.00222,0.00164,63.78593844,0.00285883,102.0027241,0.00809047,0.00891571,1.14644,0
2016.04.14,-0.01105,-0.00199,-0.00028,0.00201,-0.00222,50.54462344,0.00484339,100.702187,0.00807869,0.00916357,1.14644,0
2016.04.15,-0.0005,-0.01105,-0.00199,-0.00028,0.00201,50.04115285,0.00607996,99.80865991,0.00786058,0.009195,1.145516,1
2016.04.18,0.00164,-0.0005,-0.01105,-0.00199,-0.00028,53.28817787,0.00608776,99.67714049,0.00752406,0.00865357,1.14462896,1
2016.04.19,0.0012,0.00164,-0.0005,-0.01105,-0.00199,54.34353385,0.00594927,99.40673944,0.00711129,0.00865,1.1437774,1
2016.04.20,0.00473,0.0012,0.00164,-0.0005,-0.01105,58.73491987,0.00553464,99.6324239,0.00667095,0.00862071,1.14295991,0
2016.04.21,-0.00608,0.00473,0.0012,0.00164,-0.0005,51.69793719,0.00534302,99.21127057,0.00617948,0.00879786,1.14217511,0
2016.04.22,-0.00091,-0.00608,0.00473,0.0012,0.00164,50.69812276,0.00533188,99.16006256,0.00561435,0.00905071,1.1414217,0
2016.04.25,-0.00616,-0.00091,-0.00608,0.00473,0.0012,44.01747313,0.00548862,98.42159753,0.00494274,0.00898286,1.1402414,1
2016.04.26,0.00486,-0.00616,-0.00091,-0.00608,0.00473,49.11923221,0.00448972,99.04176667,0.00425635,0.00882714,1.13913192,1
2016.04.27,0.00289,0.00486,-0.00616,-0.00091,-0.00608,51.95424352,0.00346973,98.99473264,0.00369046,0.008635,1.138089,1
2016.04.28,0.00255,0.00289,0.00486,-0.00616,-0.00091,54.29167978,0.00356613,99.26602769,0.00325184,0.00864571,1.13710866,1
2016.04.29,0.00309,0.00255,0.00289,0.00486,-0.00616,56.90462499,0.00385794,99.69604596,0.00291465,0.0089,1.12175,1
2016.05.02,0.01027,0.00309,0.00255,0.00289,0.00486,65.25856256,0.00643852,101.6731428,0.00275065,0.00867357,1.1222326,1
2016.05.03,0.00729,0.01027,0.00309,0.00255,0.00289,69.35597669,0.00952256,102.3555098,0.00274637,0.00865643,1.1234853,0
2016.05.04,-0.00373,0.00729,0.01027,0.00309,0.00255,65.06293785,0.0109415,101.7319197,0.00288873,0.00867214,1.12577098,0
2016.05.05,-0.00097,-0.00373,0.00729,0.01027,0.00309,63.75269096,0.01133355,101.534,0.00314249,0.00893357,1.12791952,0
2016.05.06,-0.00792,-0.00097,-0.00373,0.00729,0.01027,55.39532511,0.01060765,100.4111965,0.00347044,0.00917786,1.12993915,0
2016.05.09,-0.00024,-0.00792,-0.00097,-0.00373,0.00729,54.50088333,0.0087041,100.8755622,0.00380164,0.00891929,1.1318376,0
2016.05.10,-0.00116,-0.00024,-0.00792,-0.00097,-0.00373,53.33414912,0.00756977,100.8559125,0.00409545,0.00858714,1.13362214,0
2016.05.11,-0.00118,-0.00116,-0.00024,-0.00792,-0.00097,51.94219033,0.00702602,101.3505442,0.00432258,0.00822357,1.13529961,1
2016.05.12,0.00565,-0.00118,-0.00116,-0.00024,-0.00792,56.92711677,0.00641469,101.4122012,0.00451907,0.007995,1.13582,0
2016.05.13,-0.00493,0.00565,-0.00118,-0.00116,-0.00024,51.7924283,0.00649454,100.7109215,0.00454592,0.00825929,1.16158,0
2016.05.16,-0.0066,-0.00493,0.00565,-0.00118,-0.00116,46.01827194,0.00736194,99.92314488,0.004319,0.00795357,1.1609132,1
2016.05.17,0.00074,-0.0066,-0.00493,0.00565,-0.00118,46.84337353,0.00629647,99.74358297,0.00393625,0.00764714,1.16025974,0
2016.05.18,-0.00074,0.00074,-0.0066,-0.00493,0.00565,46.17488203,0.00547735,98.70427893,0.00343952,0.00786143,1.15961934,0
2016.05.19,-0.00967,-0.00074,0.00074,-0.0066,-0.00493,38.33777645,0.00614515,97.24780188,0.00284397,0.00742929,1.15808937,0
